S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
1260,VI,Bharat Bazaar,2015,"Bharat Bazaar is a mobile app that helps facilitate increased choice, trust and transparency between buyers and sellers, and bring in transactional ease into the fruits and vegetables wholesale supply chain.",Consumer_services,Retail,Internet marketplace and eCommerce,,B2B,Wholesale market,Mobile app,,Mumbai,Maharashtra,Angel investment,Marketplace,,,,,,,,,,,,,,,,,,42370,,Angel forums,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,VI,BHIVE Workspace,2014,"BHIVE Workspace prides in being the largest CoWorking spaces in Bangalore, India’s startup capital. Our hybrid workspaces are innovative office spaces and business centers with focus to coworking and community.",Industrials,Industrial goods and services,Real Estate,,B2B,Co-working,,,Bengaluru,Karnataka,Angel investment,"Buy , Rent and Sell Property",,,,,,,,,,,,,,,,,,41974,3,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,VI,Browntape,2012,Browntape provides many features which let you automade repetitive tasks and cut down time spent on them to a few seconds.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Reduces repetitive tasks,,,,,Angel investment,Software services for consumers,,,,,,,,,,,,,,,,,,41730,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,VI,Chaayos,,It is a  a contemporary interpretation of the chai adda.,Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Coffee and beverages,,,Gurgaon,Haryana,VC Funded,Food Products,,,,,,,,,,,,,,,,,,41821,,Venture capital,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,VI,Chai Point,2010,Chai Point is a F&B retail brand whose purpose is to serve the working Indian a great glass of Chai.,Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Coffee and beverages,,,Bengaluru,Karnataka,Angel investment,Food Products,,,,,,,,,,,,,,,,,,42005,2,Angel investors,64.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,VI,Chefs Basket,2010,Chef's Basket redefining casual gourmet for those who love their food.,Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Online food delivery,,,Mumbai,Maharashtra,Angel investment,Food Services,,,,,,,,,,,,,,,,,,,2,Angel investors,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,VI,Credr,2014,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,Consumer_goods,automobile and parts,Internet marketplace and eCommerce,,B2C,Bike marketplace,,,Bengaluru,Karnataka,Angel investment,Car Motorbike Industrial,,,,,,,,,,,,,,,,,,42156,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,VI,Crown-it,2014,Crown It is a mobile app which is set to revolutionize retail business in India. It’s a customer club through which customers get cash back each time they visit and spend on retail outlets.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online Marketplace,,,Gurgaon,Haryana,Angel investment,Marketplace,,,,,,,,,,,,,,,,,,42583,4,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,VI,CultureAlley,2012,CultureAlley offers self-paced audio-visual lessons and interactive practice exercises online.,Technology,Software & Computer Services,Edu-Tech,,B2C,Video learning,Online courses,,Jaipur,Rajasthan,Angel investment,Online courses and resources,,,,,,,,,,,,,,,,,,41944,2,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,VI,DailyObjects,2012,"DailyObjects.com is an e-commerce portal for gadget, car, office, travel and personal grooming accessories.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,E-Commerce,,,New Delhi,Delhi,Angel investment,Marketplace,,,,,,,,,,,,,,,,,,42370,3,Angel investors,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,VI,Doormint,2014,"DoorMint provides you hassle free, punctual and transparent utility services at your doorstep.",Utilities,Utilities,Consumer Products and Services,,B2C,Utility services,,,Mumbai,Maharashtra,VC Funded,Utility services,,,,,,,,,,,,,,,,,,42095,,Venture capital,57.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,VI,DoSelect,2014,DoSelect is a collaborative and technology independent hiring tool for companies who want to test real skills of the candidates.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Employment opportuniy,,,Bengaluru,Karnataka,Angel investment,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,42675,,Angel forums,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,VI,EazyDiner,,EazyDiner is your reliable guide to eating out.,Consumer_services,Retail,Consumer Products and Services,,B2C,Guide for dinner,,,New Delhi,Delhi,Angel investment,Travel & Tourism,,,,,,,,,,,,,,,,,,42217,2,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,VI,Explara,2008,"Explara offers an online platform that enables its users to find and organize events, and book tickets.",Technology,Software & Computer Services,Internet marketplace and eCommerce,,B2C,Online booking,,,Pune,Maharashtra,Angel investment,Booking,,,,,,,,,,,,,,,,,,42186,,Angel forums,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,VI,FabAlley.com,2012,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls",Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Fashion,Women,,New Delhi,Delhi,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42644,,Angel forums,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,VI,Fareye,2013,FarEye is a SaaS mobility platform solving the problems faced by logistics enterprises.,Consumer_services,Retail,Industrial and Business Products and Services,,B2C,Solves business problems,,,New Delhi,Delhi,Angel investment,Business Support Services,,,,,,,,,,,,,,,,,,41883,,Angel forums,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,VI,FlyRobe,2015,Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Fashion,Rental design wear,,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42583,1,Angel investors,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,VI,Frsh,2014,FRSH has been started to solve this basic problem of making fresh and healthy food accessible.,Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Food and agro products,,,Gurgaon,Haryana,Angel investment,Food Products,,,,,,,,,,,,,,,,,,42278,,Angel forums,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,VI,Fyle Technologies,,Fyle is a digital transaction platform that solves the problem of business expense reporting and management.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Business management,,,Bengaluru,Karnataka,Angel investment,Buisness and Management consultancy,,,,,,,,,,,,,,,,,,42767,3,Angel investors,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,VI,Fynd,2013,Fynd is an online retailer that sells a range of fashion items to its users.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Fashion,,,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42309,3,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,VI,Gamezop,2015,Gamezop is a one-stop destination for casual games where users play games without downloading apps. ,Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Gaming,,,New Delhi,Delhi,Angel investment,Games and Gaming enablers,,,,,,,,,,,,,,,,,,42370,3,Angel investors,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,VI,Gigstart,2013,"Gigstart is an online e-commerce platform and community that enables consumers, entertainers, and event planners to connect with each other.",Consumer_services,Retail,Consumer Products and Services,,B2C, Event Planner,,,New Delhi,Delhi,Angel investment,Event Management,,,,,,,,,,,,,,,,,,41944,4,Angel investors,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,VI,Ginergercrush,2013,"At Gingercrush, They offer you an innovative on demand retail platform where you can instantly shop, create or customize products to fit your personal style and taste. ",Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online shopping,,,Vadodara,,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42401,,Angel forums,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,VI,Goodbox,2015,Goodbox is a B-B-C Commerce Network that provides Businesses a Mini App & Consumers a Mega App.,Consumer_services,Retail,Software and Internet Services,,B2B2C,Mobile app development,,,Bengaluru,Karnataka,Angel investment,DevOps,,,,,,,,,,,,,,,,,,42186,2,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,VI,Grab,2011,"Formerly Known as GrabTaxi, Grab is Southeast Asia’s leading ride-hailing platform. We solve critical transportation challenges and make transport freedom a reality for 620 million people in Southeast Asia.",Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2C,Taxi hiring,,,Mumbai,Maharashtra,Angel investment,Automobile maintenance and services,,,,,,,,,,,,,,,,,,42095,2,Angel investors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,VI,Grey Orange Robotics,,GreyOrange is 300+ employee technology startup that is creating hardware & software products for warehousing industry.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Robots,,,Gurgaon,Haryana,Angel investment,Product development,,,,,,,,,,,,,,,,,,41730,2,Angel investors,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,VI,HackerEarth,2012,"HackerEarth helps its clients hire great programmers, the smart way.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Employment opportuniy,,,Bengaluru,Karnataka,Angel investment,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,41671,,Angel forums,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,VI,HeadOut,2014,Headout is an on-demand mobile concierge helping travelers book the best local experiences for the next 24 hours at discounted prices.,Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2C,Books local experiences at low price,Mobile app,Travel planner,Bengaluru,Karnataka,Angel investment, Local trip planners,,,,,,,,,,,,,,,,,,42095,3,Angel investors,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,VI,Hiree.com,2013,Recruiters can find jobseekers available at short notice and reduce the hiring time. myNoticePeriod.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Employment opportuniy,,,Bengaluru,Karnataka,Angel investment,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,41883,2,Angel investors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,VI,HomeLane,2014,"HomeLane is India’s leading end to end, vertically integrated interior design and manufacturing provider.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2C,Interior design services,,,Bengaluru,Karnataka,Angel investment,Building Materials & Fixtures,,,,,,,,,,,,,,,,,,41883,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,VI,Housejoy,2014,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Consumer_services,Retail,Consumer Products and Services,,B2C,House cleaning services,,,Bengaluru,Karnataka,Angel investment,Home Improvement Retailers,,,,,,,,,,,,,,,,,,41883,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,VI,Jaypore E-Commerce,2012,Jaypore is a curated social commerce platform that allows artisans and independent producers from India to sell their products online.,Technology,Software & Computer Services,Consumer Products and Services,,B2C,Selling art works online,,,New Delhi,Delhi,Angel investment,Recreational Products,,,,,,,,,,,,,,,,,,42339,1,Angel investors,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,VI,JetSetGo,2014,JetSetGo is the new face of private aviation in India.,Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Online booking,Travel,,New Delhi,Delhi,Angel investment,Booking,,,,,,,,,,,,,,,,,,42339,1,Angel investors,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,VI,Joybynature.com,2013,Joybynature is an online store selling natural and organic products.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online shopping ,,,New Delhi,Delhi,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42186,,Angel forums,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,VI,Juspay,,Juspay is the simplest way to make online payments in India.,Financials,Financial services,Fin-Tech and Payments,,B2C,Online payment,,,Bengaluru,Karnataka,Angel investment,Payments and Wallet,,,,,,,,,,,,,,,,,,41944,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,VI,JustRide,2015,JustRide aims to enhance the self-drive car rental experience for customers in India by providing superior services at minimal costs.,Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2C,Car rental,,,Mumbai,Maharashtra,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,,,,,,,,,,,,,42217,4,Angel investors,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,Startup Centre,Addiemall,,"Online marketing solutions like SEO, Email marketing, Pay per click,Social media,Video marketing, online lead generation, internet advertising etc",Technology,Software & Computer Services,"Media, Advertising and Gaming",Software and Internet Services,B2B,Video Making,Advertising,Marketing and Branding,Madurai,Tamil Nadu,Acceleration,Advertising,,Internet and software development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,Startup Centre,mycaraddon.com,,"Online car spare parts and accessories sale, deliver and installation",Consumer_goods,automobile and parts,Internet marketplace and eCommerce,Consumer Products and Services,B2C,Maintainance and services,Automobile Parts,,Chennai,Tamil Nadu,Acceleration,Car Motorbike Industrial,,Automobiles & Auto Parts services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,Startup Centre,Mahapool,,"Mobile allication for solutions to problems like traffic, parking, air pollution and fuel wastage by pooling two or more people",Consumer_services,Travel and Leisure,Hyperlocal and Logistics,Not required,B2C,Moblie application  for car pooling,Bike Pooling,,Faridabad,Harayana,Acceleration,"Taxi Services, Automobile pooling & Travel",,,,,,Bharat Bhushan,Praveen Vashist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,Startup Centre,,,Online marketing for coaching and sports institute,Consumer_services,Retail,Edu-Tech,Not required,B2C,Online sports and  coaching information,Blogging,,New Delhi,,Acceleration,Online courses and resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,Startup Centre,Eventifier,,Online Analytic Platform for Social Events.Event organizers/managers where they options to export the event data and with reports and analytics over the event. Whole data about the event no of people photos Guests Event proceedings,Technology,Software & Computer Services,"Media, Advertising and Gaming",Software and Internet Services,B2C,Event Information and Analysis,Blogging,,Kasaragod,Kerala,Acceleration,Media,,Big Data Analytics and Machine learning,,,1)Mohammad Saud bakhar 2) Nazim Zeeshan 3) Jazeel Badur Ferry,Mohammad Saud bakhar,Nazim Zeeshan,Jazeel Badur Ferry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Startup Centre,Fundboon,,Help customers to avail loan and funding from banks which do not qualify for the norms or get rejected due to lack of information,Financials,Banks,Fin-Tech and Payments,Not required,B2C,Banking Policy,Blogging,,Chennai,Tamil Nadu,Acceleration, Banking and Non Banking Financial services,,,,,Sujith Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Startup Centre,,,"Moblie website devlopment, Marketing, Buiseness analytics, Branding of buisness",Technology,Software & Computer Services,Software and Internet Services,"Media, Advertising and Gaming",B2C,Marketing and Branding,Buisness Intelligence,Website Developer,Bengaluru,Karnataka,Acceleration,DevOps,,Advertising,,,,Sampath,Mani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Startup Centre,Skippcard,,"Mobile appication for showing menua card of restaurant with details of ingridients, calories, servings price and photos",Technology,Software & Computer Services,Software and Internet Services,Not required,B2C,Mobile Application,Buisness Intelligence,,New Delhi,,Acceleration,SaaS,,,,,Mohit & Saurabh Talwadia,Mohit Talwadia,Saurabh Talwadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Startup Centre,,,Buisness and global reach solutions by increasing visibility of sales force and collection of data to used to determine the future prodcution and sale,Technology,Software & Computer Services,Software and Internet Services,,B2C,Marketing and Branding,Buisness Intelligence,,Chennai,Karnataka,Acceleration,Big Data Analytics and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Startup Centre,Sreffo,,"Business Online and providing them complete single window solution for thier Online Store, payment Gateways , Shipping Solutions ,Marketing support and Complete Business Consultancies",Industrials,Industrial goods and services,Industrial and Business Products and Services,Software and Internet Services,B2C,Marketing and Branding,Buisness Intelligence,,Chennai,Tamil Nadu,Acceleration,Buisness and Management consultancy,,DevOps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Startup Centre,,,Online solutions for marketing for buisness strategy using data analytics and amchine learning,Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Data Analytics and Artificial Intelligence to solve industrial problems,Buisness Intelligence,,Chennai,Tamil Nadu,Acceleration,Big Data Analytics and Machine learning,,,,,,Venkatramani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,Startup Centre,,,Online sale of consumer goods and help small retailers grow by buisness modelling and onlline marketing,Industrials,Industrial goods and services,Internet marketplace and eCommerce,,B2B,Buy and Sale goods and products,,,Alappuzha,Kerala,Business Plan,Buy and Sale goods and products,,,,,,Aneesh M,Abhilash TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
